Group,ANGPT1,ANGPT2,ANKRD22,BCL6,C1QC,CA4,CALCA,CCL5,CD177,CKAP4,CXCL10,FAS,FLT1,HK3,HP,ICAM1,LAG3,PADI4,PF4,PGLYRP1,PLBD1,RGL4,S100A12,SLC2A3,TNFAIP6,TNFRSF1B,TREM1
CM,9.128402222,3.418913901,10.26603666,9.609991437,9.315691797,9.243141265,6.263900089,7.405043561,8.552720541,9.539497346,8.638384009,9.609991437,3.519171044,9.700756412,9.817612404,9.817612404,9.817612404,2.85124491,10.03524489,8.638384009,9.315691797,9.817612404,9.817612404,6.896466985,8.638384009,9.315691797,8.163004287
CM,9.049153004,7.225462664,9.817612404,10.26603666,9.243141265,10.26603666,6.462395419,7.771274038,8.522259932,9.465003928,8.747375146,9.817612404,9.817612404,10.26603666,9.539497346,8.222044584,9.609991437,2.86750585,9.092973035,9.465003928,9.539497346,10.26603666,10.26603666,7.310683427,9.609991437,8.707755833,8.747375146
CM,9.609991437,2.680289078,9.609991437,9.700756412,9.210233263,9.609991437,6.587653114,6.088406277,8.286803033,8.59373944,8.707755833,8.685269104,6.770987376,9.817612404,10.26603666,9.609991437,8.129991896,2.826893217,8.783974456,7.405043561,10.26603666,9.465003928,10.03524489,7.267574788,8.286803033,8.073632752,9.465003928
CM,9.001313027,3.672615329,9.243141265,8.874911742,9.817612404,8.874911742,7.59627125,6.462395419,8.04639093,9.416470186,8.454223419,8.454223419,8.506999962,9.609991437,9.416470186,10.26603666,10.03524489,7.267574788,9.700756412,9.210233263,9.071063019,9.315691797,9.128402222,6.462395419,8.571924515,9.609991437,8.301069303
nCM,2.985266985,2.85124491,2.974315503,2.945016611,2.985266985,2.891040103,3.047869568,3.150158291,2.826893217,2.803346472,3.047869568,2.985266985,3.047869568,2.803346472,2.891040103,3.062354939,3.071690095,3.030147015,3.162818834,2.753481709,2.929910736,2.753481709,2.86750585,3.173883709,2.966354964,3.062354939,2.954700888
nCM,2.945016611,2.891040103,3.071690095,2.680289078,3.009981347,2.929910736,3.0199089,2.945016611,2.891040103,3.009981347,3.087967915,2.803346472,2.945016611,2.826893217,2.945016611,3.071690095,3.107546696,3.334993043,2.929910736,2.999398894,2.85124491,2.86750585,2.954700888,3.047869568,3.334993043,2.91268352,3.055181907
nCM,3.107546696,2.954700888,2.826893217,2.891040103,2.891040103,2.753481709,3.162818834,3.087967915,2.680289078,2.826893217,2.826893217,2.86750585,3.009981347,2.680289078,2.985266985,2.753481709,2.974315503,3.098018646,2.954700888,2.86750585,2.753481709,2.803346472,2.826893217,3.0199089,2.85124491,2.86750585,2.891040103
nCM,2.86750585,2.985266985,2.753481709,3.055181907,2.85124491,2.954700888,2.954700888,2.891040103,2.803346472,2.985266985,2.86750585,2.929910736,2.803346472,2.891040103,2.803346472,2.680289078,2.680289078,3.458534261,2.966354964,2.891040103,3.055181907,2.891040103,2.85124491,3.311906666,2.891040103,3.009981347,3.19692107
nCM,2.91268352,2.945016611,3.030147015,2.929910736,3.055181907,3.079725871,2.803346472,2.966354964,3.071690095,3.055181907,3.009981347,2.91268352,3.0199089,2.985266985,3.047869568,3.055181907,3.062354939,3.150158291,2.85124491,2.945016611,3.009981347,3.030147015,3.009981347,3.098018646,3.140250558,3.087967915,3.009981347
CM,3.047869568,3.071690095,2.803346472,2.85124491,2.680289078,2.826893217,3.116464208,3.140250558,2.753481709,2.891040103,2.91268352,3.071690095,3.127059133,3.047869568,2.86750585,3.0199089,2.803346472,3.519171044,3.127059133,2.966354964,2.803346472,2.954700888,2.680289078,3.079725871,2.753481709,3.19692107,3.0199089
nCM,3.311906666,2.753481709,3.009981347,2.753481709,3.071690095,3.030147015,3.334993043,3.009981347,2.954700888,2.91268352,3.030147015,2.945016611,2.753481709,2.85124491,3.055181907,2.966354964,2.966354964,3.481484768,2.803346472,3.079725871,2.826893217,2.826893217,2.945016611,2.954700888,2.929910736,2.974315503,2.753481709
CM,3.150158291,3.087967915,3.334993043,3.127059133,2.91268352,3.071690095,3.009981347,2.974315503,2.974315503,3.391624928,2.954700888,3.098018646,2.891040103,3.116464208,2.929910736,3.150158291,3.087967915,6.587653114,3.116464208,3.150158291,3.071690095,3.087967915,3.079725871,3.458534261,3.434214661,3.481484768,3.127059133
nCM,2.954700888,3.030147015,2.966354964,3.030147015,2.954700888,3.0199089,3.087967915,3.071690095,3.030147015,2.85124491,2.966354964,3.19692107,3.140250558,2.929910736,2.91268352,2.826893217,2.999398894,3.362066631,3.173883709,2.929910736,2.966354964,2.985266985,2.891040103,3.391624928,2.91268352,3.030147015,3.030147015
nCM,3.362066631,3.047869568,2.91268352,2.91268352,2.945016611,2.86750585,2.945016611,3.107546696,2.85124491,2.86750585,2.999398894,2.954700888,3.19692107,2.954700888,2.954700888,3.009981347,3.0199089,3.087967915,3.107546696,2.954700888,2.86750585,2.85124491,2.803346472,3.039271215,2.826893217,3.362066631,2.680289078
nCM,3.055181907,2.929910736,2.929910736,2.954700888,2.86750585,3.009981347,3.055181907,3.047869568,3.009981347,2.974315503,2.929910736,2.966354964,3.030147015,2.999398894,2.85124491,2.91268352,2.891040103,3.127059133,3.009981347,2.826893217,2.974315503,2.974315503,2.999398894,3.071690095,2.985266985,3.405269415,2.91268352
