Group,ANGPT2,CA4,CALCA,PADI4,SLC2A3,TNFAIP6
nCM,6.462395419,3.116464208,3.534887041,3.009981347,2.91268352,2.945016611
nCM,6.958234367,3.311906666,3.458534261,2.974315503,2.945016611,3.098018646
nCM,3.585871812,3.549357172,3.549357172,3.039271215,3.062354939,3.311906666
nCM,3.098018646,2.680289078,3.497766655,2.985266985,3.009981347,3.071690095
nCM,6.088406277,2.945016611,3.481484768,2.929910736,2.86750585,2.680289078
nCM,6.263900089,3.334993043,3.585871812,3.055181907,2.826893217,3.0199089
nCM,3.549357172,3.418913901,3.362066631,3.047869568,2.985266985,3.519171044
nCM,6.770987376,3.055181907,3.562458224,2.999398894,2.803346472,3.047869568
nCM,3.534887041,3.127059133,3.672615329,3.0199089,2.753481709,2.999398894
nCM,6.587653114,3.087967915,3.519171044,2.945016611,2.929910736,3.162818834
CM,7.786181593,7.867537648,7.893902103,8.129991896,8.874911742,8.073632752
CM,7.59627125,8.59373944,7.771274038,8.614745704,8.582831977,8.747375146
CM,8.340115956,9.049153004,7.882452555,9.243141265,8.522259932,8.03068305
CM,7.707080729,7.45446007,9.700756412,7.405043561,7.50463662,7.575337072
CM,8.454223419,8.930745903,8.147059577,8.393818508,9.315691797,8.176481669
CM,9.128402222,7.707080729,7.384166616,7.85214137,8.340115956,8.874911742
CM,7.613052909,7.760233992,8.326878587,7.644382953,7.477285517,7.405043561
CM,9.243141265,8.614745704,8.272382603,9.128402222,8.432661687,9.700756412
CM,7.90263332,7.676376042,8.222044584,7.707080729,7.575337072,6.462395419
CM,8.199399433,8.412935488,7.760233992,8.552720541,8.783974456,7.760233992
CM,7.69337339,7.726818671,8.747375146,7.676376042,7.893902103,8.372400643
CM,7.771274038,8.747375146,8.239285297,9.539497346,8.403376998,8.35498296
CM,7.676376042,7.477285517,9.416470186,7.786181593,7.760233992,5.725209121
CM,8.874911742,8.176481669,8.638384009,8.432661687,7.771274038,8.147059577
