Group,ANGPT1,ANGPT2,ANKRD22,BCL6,C1QC,CA4,CALCA,CCL5,CD177,CKAP4,CXCL10,FAS,FLT1,HK3,HP,ICAM1,IL18R1,LAG3,PADI4,PF4,PGLYRP1,S100A12,SLC2A3,TNFAIP6,TNFRSF1B,TREM1
Control,73.72370132,6.140291269,111.6188585,3141.853579,3.987208122,239.8071463,-3.720166599,5216.855258,-3.95891868,741.1521862,128.4207141,64.59102477,4.884462437,440.9447883,-0.329394416,41.14135574,473.5908409,142.7272222,1583.73622,-2.006458477,168.839087,2707.948547,4738.300152,2022.887927,872.8631265,116.2288543
Control,77.42544964,-1.12370335,88.29236,4389.326711,4.513682132,464.9686096,-1.597006497,7466.037855,3.277931574,890.4997544,21.72146508,33.0403866,-7.142541827,405.1742371,59.90774061,25.80383269,812.7459053,157.4096244,1923.587735,5.584831421,331.4768358,2373.635313,7856.37946,580.1366541,761.5352324,137.5871865
Control,97.46258822,4.619311168,37.44325827,5657.569403,23.10484091,247.7981257,-9.077757665,15654.97288,1.135750355,1628.844842,34.14936355,30.39424437,5.191541117,557.4243124,8.588713909,17.99007888,691.5230035,182.3925811,1599.719156,-3.773994416,223.2464365,2432.233682,7856.37946,1077.389777,547.6887901,53.21879574
Control,97.0725665,0.591431878,22.89246325,2316.950026,3.324024873,79.11088944,-8.244785584,11718.2586,-0.68797736,308.5848038,20.85132528,25.52483858,2.00822934,204.2464617,0.144838274,7.14768,631.6452016,179.1001179,503.7046777,-9.243640711,70.15674497,878.6302779,5563.158693,365.8067312,283.7446955,72.14351025
Control,78.10657188,3.282766091,40.87655188,2997.291532,12.87375421,213.528293,-5.309989645,9789.73791,1.228822741,775.0959698,82.50257848,82.39904954,2.917424162,674.0408363,16.05429025,10.13638122,371.1545841,109.2947248,1335.952378,1.605518274,90.63438558,1085.792733,5356.590077,1151.637902,768.2101509,112.8597684
Control,83.36076731,-6.106857056,78.98195543,3327.83378,5.491894112,269.6631314,-9.159051066,9092.153965,1.22653066,989.3198383,29.01645574,64.81781147,-5.668923553,326.3241108,20.91530386,6.097366497,428.0608499,164.1180929,971.3531301,-3.512433909,161.8334799,1227.71635,6363.191376,964.4331183,484.2844704,164.3973904
Control,81.66040142,7.293581929,43.8707332,3548.239531,-5.387320102,539.1544849,-8.850563046,3505.384589,3.739201015,674.7492913,32.83313198,30.28668964,8.728838579,323.2786361,13.24738975,16.56379685,401.0541009,57.32730051,2746.272328,-1.771304772,328.7137892,2583.852538,4968.63214,690.4810979,626.731629,198.1321754
Control,40.02118893,0.532813604,25.45712782,3229.372533,-2.732520102,250.2124289,-7.397385584,4786.348352,-3.479071574,774.2493677,89.2228397,36.83157249,2.79276599,391.6612576,16.25975898,2.587706396,267.9627717,196.158249,959.4842939,-5.874893706,192.773112,1791.594083,4943.935981,999.3056698,686.5379113,197.7774562
Control,68.1530466,-0.463883046,48.78288558,2122.937521,-3.454638579,232.609209,-0.139606091,4919.95048,0.508003756,511.3651978,160.3652618,33.91456294,-1.672032081,457.6579527,21.75166822,16.09903929,210.3160857,172.423853,1155.958614,-1.370220102,225.1418166,1665.680721,4034.555226,631.0238641,631.324548,133.7764208
Control,86.44598234,2.819995025,41.10816538,2013.377256,-2.072086802,291.9051364,-5.771414721,9837.441717,3.281568325,488.3457737,160.8215282,67.81700355,-6.716794822,304.8480665,22.9589401,17.14056579,325.3056705,244.732467,1402.665506,-2.182315939,152.2481496,1172.101696,3750.206169,547.4383573,895.9914463,128.6666501
