Group,CA4,SLC2A3
Condition,331.016439,4106.312903
Condition,120.7277501,2878.538012
Condition,404.7303283,4430.839096
Condition,44.56696406,2348.347979
Condition,103.5773465,2808.205552
Condition,135.283568,2927.532837
Condition,373.0583631,5370.807019
Condition,423.2104168,3548.239531
Condition,152.6750331,3124.321583
Condition,273.0594083,3814.551927
Condition,71.9150532,2104.721153
Condition,1097.550001,4430.839096
Condition,131.7965418,4559.67527
Condition,747.1881069,5689.084826
Condition,967.5606518,4348.831748
Condition,369.1449157,5216.855258
Condition,164.3049805,3141.853579
Condition,289.0214317,4008.848787
Condition,742.3267061,6717.731333
Condition,387.9648897,5854.158568
Condition,316.988969,5231.263847
Condition,440.7737532,3846.565534
Condition,121.9802989,3423.865611
Condition,201.6739675,2799.252445
Condition,863.9880777,10154.83618
Condition,128.8475385,2304.495281
Condition,108.3058913,3650.608849
Condition,208.5839673,3742.180729
Condition,74.32748457,2603.286279
Condition,87.64888934,4727.139977
Condition,142.3714827,3711.302518
Condition,420.7648852,5626.118057
Condition,190.6396485,4238.731474
Condition,244.6581989,2607.191356
Condition,219.5727055,3822.245595
Condition,63.65983655,3457.851365
Condition,512.0417251,4219.882983
Condition,227.2518736,6403.909575
Condition,244.732467,4338.328528
Condition,49.23495878,1984.735615
Condition,100.6689524,3284.099725
Condition,1010.716501,4162.972122
Condition,371.2895929,4389.326711
Condition,212.9591318,4258.619092
Condition,117.9067288,3657.702812
Condition,156.1635969,3211.94864
Condition,338.6318012,3391.242889
Condition,274.6610903,3359.897131
Condition,160.777485,3205.818877
Condition,90.7874336,2992.433134
Condition,72.59887766,3423.865611
Condition,18.44101239,2576.405431
Condition,70.69426386,3211.94864
Condition,133.7764208,3450.783636
Condition,36.19818294,3271.909655
Condition,70.59719614,3012.57289
Condition,64.51983086,2510.080593
Condition,109.7595848,4505.99578
Condition,46.84951157,2310.542582
Control,111.0914186,3491.494699
Control,72.4258134,2897.960096
Control,36.31677898,2179.63099
Control,122.1928622,3417.475957
Control,80.63771188,3054.017798
Control,155.3985615,3278.187258
