Group,ANGPT2,CA4,CALCA,PADI4,SLC2A3,TNFAIP6
Condition,0.330166294,123.4458576,-2.931171168,2149.922078,3766.425026,191.3623855
Condition,0.504808629,107.6658617,-5.064581117,1943.700757,3814.551927,175.7991283
Condition,0.625034112,236.4042618,-5.354934924,2373.635313,5231.263847,1801.394625
Condition,-2.610240558,355.1449494,8.285398782,1424.371932,4895.365055,1764.773129
Condition,0.438806904,182.0734506,2.598472995,2546.255967,4008.848787,372.5270655
Condition,4.780756041,112.9836341,-5.735851523,1785.756102,3711.302518,285.2337838
Condition,7.505303046,79.15422152,-18.80291766,2221.647607,3069.622175,133.5375199
Condition,10.20445919,172.5264147,2.128318883,1826.837451,4968.63214,765.2766846
Condition,4.472827411,156.6524079,-1.020972589,2265.654218,4134.868184,491.4276051
Condition,12.06919645,359.4209625,-4.114053096,2687.214474,6403.909575,650.4486114
Condition,7.693934112,157.2754262,-2.218071777,1736.547779,2741.89246,237.4228286
Condition,1.280683756,80.55386619,-0.457435127,3199.892309,3397.968327,520.6287282
Condition,3.125503452,267.7082871,-1.722508122,1542.59398,3217.888495,689.3780594
Condition,1.149427208,93.81005147,-7.960850355,2380.096765,3583.764946,495.565446
Condition,5.140692386,261.8869397,-4.381691066,3872.048281,4681.873625,371.0213536
Condition,4.691572792,91.89497878,-5.212914924,1428.239967,2897.960096,403.8111278
Condition,3.746614213,118.137338,-5.224597157,2196.345416,3583.764946,263.2156648
Condition,4.146108477,383.5098696,-10.70417046,4190.782223,6674.520342,1147.194264
Condition,0.563725685,100.3862837,-10.4158931,2703.664802,3211.94864,861.3654176
Condition,2.135510863,65.32390173,-0.834495736,1377.886124,2844.980452,105.8351494
Condition,5.350585888,503.902281,-3.571607817,4591.549569,7548.444225,2310.542582
Condition,4.054870761,64.92328254,3.934720812,2061.553619,3347.302858,869.7113487
Condition,-3.139536041,296.2910542,-1.178487513,2803.772283,4153.679631,397.5892149
Condition,3.634394213,125.0622678,-6.010124162,1871.984801,3359.897131,137.0389542
Condition,-0.668334721,97.21400447,-3.363385178,2449.207711,2746.272328,785.116062
Condition,2.235710914,205.5725368,-1.01278736,2271.344538,3703.420262,287.7863927
Condition,2.374481218,142.0925435,-3.287418579,4258.619092,4308.56514,1032.438679
Condition,9.12619335,104.1288013,3.95950467,2039.549177,3534.01864,210.5044774
Condition,9.756332284,103.2824697,-3.608100711,2655.042844,4298.747158,385.9394923
Condition,4.392779086,87.64888934,0.970315127,1910.493866,3007.529181,370.0855263
Condition,9.47821401,153.6956731,-12.96371228,2623.022874,3814.551927,447.6200955
Control,7.468651371,452.6815617,-0.747784112,1723.713103,6611.414538,836.2523743
Control,18.99861645,347.4929479,-1.172158376,3665.163483,6717.731333,573.4541615
Control,-1.072398071,507.2008174,-10.57024244,2946.96374,7234.878869,1068.280247
Control,6.164787107,391.3583676,-8.870802335,2227.343852,7601.559031,932.9962066
Control,-2.300779086,390.0263536,5.890378274,4181.662528,6487.066558,820.2675784
Control,3.329407005,520.4074589,-8.209482335,2136.322261,7574.852797,803.9385027
Control,2.199900508,571.8320304,-0.467609645,3199.892309,6547.818528,622.5102505
Control,-3.715332183,312.4632043,-6.453301523,2662.909606,5657.569403,663.5404259
Control,1.959352386,233.3152005,-7.048457056,1886.712385,6187.289482,1667.316784
Control,9.603267919,297.4655157,-10.11899421,2051.890757,4919.95048,503.262293
Control,-7.8772,450.1406099,3.335109848,2128.281037,5203.392758,526.8348039
Control,-1.092324569,467.6530625,-12.6692602,1480.602768,5689.084826,668.2233655
Control,3.169544467,236.7779006,-9.095524873,1738.478234,4859.936657,914.5181546
Control,5.100228528,228.0092133,-4.830858985,1496.161322,4538.843536,394.0226939
Control,3.696489036,246.9491519,0.259964975,1712.851994,5121.47926,1285.087093
Control,2.727084467,193.223871,-15.24193584,1720.090511,4505.99578,615.291011
Control,-4.18779736,300.7748231,4.678306396,2422.451503,5272.695814,867.6278463
Control,3.539069848,271.7589991,-1.031230812,3359.897131,5820.61092,547.4383573
Control,4.893926193,232.4652061,-12.76564051,1345.354652,4704.7678,1261.920782
Control,0.372734619,522.2216565,-5.322542944,3048.810211,5989.479994,919.6993861
Control,-1.993948426,175.2416544,-7.649005787,1337.137239,4681.873625,386.9576397
Control,5.304840609,271.0500911,-2.322165381,2141.932082,5854.158568,1170.381634
Control,2.330103756,228.5623286,11.41105949,1426.847786,5626.118057,1366.932534
Control,8.173804264,538.1989919,-9.793384264,3484.944261,6206.795796,635.8969832
Condition,0.759119086,524.2902828,-8.779861117,3118.631105,5854.158568,428.0608499
Condition,-4.872280711,470.1369747,-6.162217766,4379.562307,7548.444225,900.4507954
Condition,-1.606799086,352.0013431,-10.98648467,3334.329311,7466.037855,816.0546784
Condition,4.910030863,571.8320304,-1.47104731,2966.775553,6761.244974,436.4296645
Condition,0.428532284,144.0688664,-2.906825888,986.0299303,4494.970863,466.7141012
Condition,0.898559898,805.332427,-8.66213198,4328.232655,6282.76466,1102.320704
