Group,ANGPT2,SLC2A3
Control,3.939593807,7493.823045
Condition,-1.170829645,5887.842917
Condition,-3.98265599,5989.479994
Condition,3.042390254,4517.272945
Condition,-7.579749442,5018.075422
Condition,-1.257460355,4494.970863
Condition,3.841659492,4000.361201
Condition,1.978813096,4569.783947
Condition,2.25122,4106.312903
Condition,-7.030159594,5272.695814
Condition,0.324393807,3734.375845
Condition,4.785654213,6899.254622
Condition,-4.933483299,4943.935981
Condition,5.747867614,4116.182452
Condition,-1.218419391,4248.637299
Condition,2.071200812,4559.67527
Condition,-4.368547005,4895.365055
Condition,0.394942538,3512.336794
Condition,-3.554354619,5428.766702
Condition,4.286503959,8352.450448
Condition,-5.86374467,6946.047533
Condition,0.144370457,5018.075422
Condition,-1.505586701,6969.138832
Condition,-0.614475228,5626.118057
Condition,11.88748122,5563.158693
Condition,0.871348629,3830.594199
Condition,-3.817968426,3410.630305
Condition,0.139978173,5043.47981
Condition,-2.176845888,6245.513337
Condition,-5.341725533,4379.562307
Condition,-1.700492386,3606.024953
Condition,5.555170863,5956.050714
Condition,8.478701624,3923.197866
Condition,1.89630599,5641.735966
Condition,-2.136251878,4441.294673
Control,-2.601912893,3742.180729
Control,9.49495934,4328.232655
Control,11.17401797,4549.017694
Control,18.43192873,5189.57058
Control,1.599491066,6717.731333
Control,4.013303553,5428.766702
Control,1.780474975,6808.036432
Control,-0.52212736,6303.400238
Control,-0.921994416,3176.519449
Control,-1.939132234,6263.85676
Control,1.987055736,7109.965157
Control,12.09143898,4834.659898
Control,-0.335656244,3359.897131
Control,13.49399269,4288.425033
Condition,6.556315635,6899.254622
Condition,2.512491827,14268.35302
Condition,2.062804264,5770.093173
Condition,2.173362132,6167.569598
Condition,2.686709949,3680.251664
Condition,4.686829543,7797.917197
Condition,-5.326895838,10849.06011
Condition,6.166675584,10697.95817
Condition,14.86882873,8253.368902
Condition,6.723063046,6131.232079
Condition,0.063147005,6167.569598
Condition,4.57484264,5147.993248
Condition,-1.785868223,4847.052735
Condition,9.452222335,5504.059572
Condition,5.035899188,7159.165256
Condition,2.756172284,10201.91486
Condition,6.92576934,4624.445752
Condition,-0.025394619,5518.198046
Condition,8.551772893,7915.500613
Condition,3.890995939,8285.790023
Condition,3.275563046,5870.746965
Condition,4.198097157,6444.623133
Condition,3.165896548,5989.479994
Condition,-0.595761015,11553.14379
Condition,-3.148110355,7628.846632
Condition,9.647641827,7654.742996
Condition,-1.195928985,5657.569403
Condition,-6.49560665,5272.695814
Condition,-2.105851472,10343.89575
Condition,-1.559041929,9248.852916
Condition,-3.530061929,10343.89575
Condition,1.942649695,6830.388875
Condition,3.510333299,6853.490175
Condition,-5.902675279,10746.19867
Condition,-2.281953299,3613.589929
Condition,4.566802741,8618.42373
Condition,-0.013754721,8319.53322
Condition,-3.310667005,5956.050714
Condition,2.192502538,6041.435303
Condition,6.237886599,5626.118057
Condition,5.797218274,5870.746965
Condition,-0.568566904,8761.336727
Condition,8.142439797,13768.598
Condition,9.420757462,6263.85676
Condition,2.892930051,3464.027351
Condition,4.307389848,8253.368902
Condition,3.618354112,6187.289482
Condition,6.164000711,6527.508437
Condition,-1.942095939,11944.29968
Condition,2.556909036,3774.008188
Condition,2.814718883,6992.457489
Condition,5.459099594,5610.13324
Condition,-3.239510914,7943.583608
Condition,1.089188376,7654.742996
Condition,0.653438985,11886.33926
Condition,6.828319594,4079.135974
Condition,-2.292004061,6547.818528
Condition,4.920852995,4980.74015
Condition,3.509780609,7548.444225
Condition,0.279692589,5134.910879
Condition,-0.309474213,3758.496373
Condition,3.062766904,5626.118057
Condition,0.45532066,7038.747988
Condition,2.364443756,6382.967939
Condition,5.774942335,3982.959757
Condition,-0.373443249,16542.7676
Condition,-2.893243553,5056.154516
Condition,4.279993807,3147.66389
Condition,4.020966396,4106.312903
Condition,0.68468731,2218.739569
Condition,0.962474822,12174.93832
Condition,-2.873341624,4797.749196
Condition,1.116410254,4992.979548
Condition,-0.412578426,4070.381804
Condition,2.803028426,7414.977184
Condition,0.277584975,13909.42227
Condition,-0.590298274,11770.99927
Condition,-9.077757665,10343.89575
Condition,-0.380970761,7310.480633
Condition,5.821550558,4034.555226
Condition,4.436004975,4591.549569
Condition,1.472206701,14123.08073
Condition,2.013848426,17300.58663
Condition,-0.04524132,3766.425026
Condition,8.33100599,8942.320056
Condition,0.306493807,9366.906072
Condition,2.257003249,7548.444225
Condition,0.077803147,11443.69307
Condition,8.092121929,7259.221625
Condition,-5.288964873,11718.2586
Condition,-2.679367005,7335.38697
Condition,12.9681265,8942.320056
